regiao;estado;data;semanaEpi;populacaoTCU2019;casosAcumulado;casosNovos;obitosAcumulado;obitosNovos
Brasil;;2020-02-25;9;210147125.0;0.0;0;0;0
Brasil;;2020-02-26;9;210147125.0;1.0;1;0;0
Brasil;;2020-02-27;9;210147125.0;1.0;0;0;0
Brasil;;2020-02-28;9;210147125.0;1.0;0;0;0
Brasil;;2020-02-29;9;210147125.0;2.0;1;0;0
Brasil;;2020-03-01;10;210147125.0;2.0;0;0;0
Brasil;;2020-03-02;10;210147125.0;2.0;0;0;0
Brasil;;2020-03-03;10;210147125.0;2.0;0;0;0
Brasil;;2020-03-04;10;210147125.0;3.0;1;0;0
Brasil;;2020-03-05;10;210147125.0;7.0;4;0;0
Brasil;;2020-03-06;10;210147125.0;13.0;6;0;0
Brasil;;2020-03-07;10;210147125.0;19.0;6;0;0
Brasil;;2020-03-08;11;210147125.0;25.0;6;0;0
Brasil;;2020-03-09;11;210147125.0;25.0;0;0;0
Brasil;;2020-03-10;11;210147125.0;34.0;9;0;0
Brasil;;2020-03-11;11;210147125.0;52.0;18;0;0
Brasil;;2020-03-12;11;210147125.0;77.0;25;0;0
Brasil;;2020-03-13;11;210147125.0;98.0;21;0;0
Brasil;;2020-03-14;11;210147125.0;121.0;23;0;0
Brasil;;2020-03-15;12;210147125.0;200.0;79;0;0
Brasil;;2020-03-16;12;210147125.0;234.0;34;0;0
Brasil;;2020-03-17;12;210147125.0;291.0;57;1;1
Brasil;;2020-03-18;12;210147125.0;428.0;137;4;3
Brasil;;2020-03-19;12;210147125.0;621.0;193;6;2
Brasil;;2020-03-20;12;210147125.0;904.0;283;11;5
Brasil;;2020-03-21;12;210147125.0;1128.0;224;18;7
Brasil;;2020-03-22;13;210147125.0;1546.0;418;25;7
Brasil;;2020-03-23;13;210147125.0;1891.0;345;34;9
Brasil;;2020-03-24;13;210147125.0;2201.0;310;46;12
Brasil;;2020-03-25;13;210147125.0;2433.0;232;57;11
Brasil;;2020-03-26;13;210147125.0;2915.0;482;77;20
Brasil;;2020-03-27;13;210147125.0;3417.0;502;92;15
Brasil;;2020-03-28;13;210147125.0;3903.0;486;114;22
Brasil;;2020-03-29;14;210147125.0;4256.0;353;136;22
Brasil;;2020-03-30;14;210147125.0;4579.0;323;159;23
Brasil;;2020-03-31;14;210147125.0;5717.0;1138;201;42
Brasil;;2020-04-01;14;210147125.0;6834.0;1117;241;40
Brasil;;2020-04-02;14;210147125.0;7910.0;1076;299;58
Brasil;;2020-04-03;14;210147125.0;9056.0;1146;359;60
Brasil;;2020-04-04;14;210147125.0;10278.0;1222;432;73
Brasil;;2020-04-05;15;210147125.0;11130.0;852;486;54
Brasil;;2020-04-06;15;210147125.0;12056.0;926;553;67
Brasil;;2020-04-07;15;210147125.0;13717.0;1661;667;114
Brasil;;2020-04-08;15;210147125.0;15927.0;2210;800;133
Brasil;;2020-04-09;15;210147125.0;17857.0;1930;941;141
Brasil;;2020-04-10;15;210147125.0;19638.0;1781;1056;115
Brasil;;2020-04-11;15;210147125.0;20727.0;1089;1124;68
